"TIME","GEO","UNIT","INDIC_NA","Value"
"2000","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 367 800.9"
"2001","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 393 277.9"
"2002","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 399 567.7"
"2003","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 398 915.8"
"2004","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 423 126.4"
"2005","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 436 379.5"
"2006","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 467 964.4"
"2007","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 492 671.1"
"2008","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 475 412.4"
"2009","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 394 347.2"
"2010","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 419 604.4"
"2011","Italy","Millions of euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","Gross domestic product at market prices","1 425 792.2"
